wick_threshold,horizon_candles,target_return,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades
0.8,4,0.012,-0.0006271225476785214,-0.8981881695756667,-0.000910335869494326,-0.7910176166092631,1477
0.8,12,0.012,-0.000381568202970694,-0.8892477668521311,-0.000970376613488665,-0.7757789936792316,1212
0.4,6,0.012,-0.0006231503555882755,-0.9990296742770112,-0.0010634892635648136,-0.9820216579726301,3494
0.8,6,0.012,-0.0005048698476550111,-0.8547805017116832,-0.0010672776067897332,-0.7966214196888113,1366
0.8,12,0.009,-0.000381568202970694,-0.8892477668521311,-0.0010874211924508873,-0.7985513832960813,1345
0.8,4,0.009,-0.0006271225476785214,-0.8981881695756667,-0.0010998689465561839,-0.8432219009308112,1548
0.7,4,0.012,-0.0005876662978635587,-0.9292499470815838,-0.0011105948563905597,-0.9018565863941806,1953
0.8,3,0.012,-0.0007628272742822831,-0.914830434607188,-0.001115270530028537,-0.8474227665366804,1561
0.8,8,0.012,-0.00041388412645362816,-0.8688066308737864,-0.0011415035905322786,-0.818243795130103,1304
0.4,8,0.012,-0.0005184662672080194,-0.9984433269429339,-0.001158917068892554,-0.9791952203886848,3124
0.8,2,0.012,-0.0008235308860449224,-0.9197492245622642,-0.0011737981272790887,-0.8844831407911342,1691
0.4,4,0.012,-0.0006689736161169075,-0.9991121991546925,-0.0011821370185400902,-0.9939013918982776,4128
0.5,8,0.012,-0.0005908110450728627,-0.9936508873107032,-0.0011917361900867429,-0.9689008365952435,2671
0.4,12,0.012,-0.0003600582686133878,-0.9976408007917721,-0.0012009333666825612,-0.9701888807683176,2702
0.7,6,0.012,-0.0004373335499515554,-0.8749245129404919,-0.0012197774383378621,-0.9030561378752384,1790
0.7,3,0.012,-0.0007513815506277635,-0.948312813598837,-0.0012231787249984939,-0.9298450497938892,2072
0.7,8,0.012,-0.0003053811957409482,-0.862828813305716,-0.001224335284499406,-0.8953919940768342,1693
0.8,8,0.009,-0.00041388412645362816,-0.8688066308737864,-0.0012300774019940689,-0.8415344392086258,1405
0.8,3,0.009,-0.0007628272742822831,-0.914830434607188,-0.0012420651823137206,-0.8804561165446201,1613
0.7,4,0.009,-0.0005876662978635587,-0.9292499470815838,-0.00124610425530503,-0.9308449320802527,2046
