group,metric,before,after,delta
execution,expectancy,-0.0015372845900460948,-0.0015420741687451024,-4.789578699007603e-06
execution,winrate,0.39909589925734584,0.39851325145442795,-0.0005826478029178905
execution,profit_factor,0.5025956452312026,0.5012998411420179,-0.0012958040891847267
execution,max_drawdown,-0.991814533322598,-0.9918971943649314,-8.266104233345395e-05
execution,trades,3098.0,3095.0,-3.0
execution,avg_hold,2.1387992253066495,2.138610662358643,-0.00018856294800650986
robustness,best_execution_expectancy,-0.000910335869494326,-0.0009094839063289887,8.519631653372637e-07
robustness,best_execution_max_dd,-0.7757789936792316,-0.7574367779874631,0.018342215691768526
blocked,blocked_edge_total,0.0,0.0,0.0
blocked,blocked_by_regime_rule_total,0.0,11.0,11.0
equity,equity_final_return,-0.34069317398562415,-0.34069317398562415,0.0
equity,equity_max_drawdown,-0.34069317398562415,-0.34069317398562415,0.0
